217,76
214,51
212,62
213,81
215,45
212,89
208,86
209,35
201,86
201,59
201,66
206,01
205,14
202,02
200,98
202,01
194,97
198,22
193,25
198,36
202,61
201,36
209,25
208,77
206,89
206,52
206,44
210,66
209,96
207,9
207,51
209,35
204,73
208,32
212,11
219,43
213,75
212,39
216,63
215,77
214,85
211,5
215,41
220,27
220,36
223,17
226,15
224,36
223,27
224,7
223,02
220,66
206,9
208
208,15
208,07
207,97
213,53
214,51
211,9
211,73
216,86
219,04
218,65
219,27
220,7
222,52
221,47
221,02
221,98
226,28
226,41
225,79
223,28
227,45
227,57
230
230,34
229,91
233,45
236,86
233,56
232,61
232,03
229,21
231,32
232,12
225,97
225,48
220,63
223,74
226,94
226,44
225,57
224,59
226,44
226,77
229,32
229,02
227,07
226,86
227,3
226,63
229,66
228,11
230,14
231,32
232,05
232,31
233,95
234,96
234,08
232,98
229,6
232,15
230,41
234,32
235,93
234,68
236,24
237,32
234,09
235,95
233,82
235,15
238,63
239,6
240
236,61
238,47
237,87
242,35
245,99
248,55
248,12
240,41
242,7
243,66
244,14
249,02
250,25
250,93
246,94
247,92
246,39
239,78
237,09
236,67
240,21
241,4
240
238,07
235,06
231,79
232,65
235,36
234,53
231,63
231,57
231,36
234,14
234,24
232,59
230,52
232,69
231,23
229,1
230,12
224,18
225,11
226,27
229,09
227,49
224,91
224,63
223,03
223,81
224,33
221,75
220,05
220,17
222,75
228,31
231,59
229,6
225,56
226,68
222,75
230,46
224,73
224,28
226,51
230,55
230,27
225,11
224,05
222,46
225,18
230,99
230,65
233,52
231,42
230,24
231,23
233,88
231,82
215,78
209,84
211,77
212,46
209,14
208,1
208,78
216,67
220,49
213,39
215,56
210,42
212,09
212,3
215,18
205,06
203,33
200,86
195,58
198,49
203,25
197,65
196,29
193,77
190,16
198,29
196,32
202,68
207,37
208,99
211,39
213,4
211,02
209,98
212,31
214,37
211,88
208,74
215,38
217,96
216,62
217,63
218,05
218,17
217,87
216,71
