351,49
347,42
347,55
349,86
353,85
348,2
342,92
346,33
326,93
323,26
325,94
334,91
334,44
328,99
329,19
327,7
315,49
324,28
316,29
321,56
334,37
332,82
340,83
338,75
337,03
333,44
334,21
342,87
341
341,21
337,33
338,46
333,17
340,66
350,42
367,32
354,57
353,85
362,9
362,82
360,25
349,5
360,88
371,33
376,52
381,7
384,38
382,71
381,76
382,38
378,68
367
356,51
358,4
355,27
359,65
358,36
366,14
362,91
358,2
356,05
363,3
368,32
369,57
371,08
377,74
380,08
379,84
378,13
378,32
386,49
386,17
382,16
376,63
383,1
383,36
387,06
387,47
389,07
395,65
388,95
382,06
379,4
375,91
369,14
375,48
375,4
366,34
367,61
356,62
360,02
363,91
363,3
363,07
360,98
367,7
367,6
372,38
367,22
362,65
362
360,58
359,79
366,85
361,82
366,02
364,08
365,26
363,33
364,3
365,5
366,52
368,12
363,82
367,29
367,42
373,09
378,04
375,14
374,75
379,61
367,68
368
365,09
370,71
375,03
376,12
373,92
370,19
372,94
375,56
383,71
390,8
390,23
387,12
365,45
374,39
380,06
382,16
393,26
392,8
390,27
383,44
388,81
385,94
375,26
367,6
368,01
371,94
374,53
370,68
367,84
364,24
361,98
362,75
363,56
363,23
360,95
357,31
354,99
361,01
361,78
359,1
352,86
355,73
353,05
346,23
349,57
341,28
340,23
344,71
351,04
351,41
347,39
347,82
345,8
344,75
346,31
343,04
339,69
337,38
343,41
354,07
358,16
356,77
351,18
353,19
347,68
360,18
344,2
343,21
348,69
353,91
354,96
347,15
345,34
342,35
344,58
356
358,44
362,1
356,77
356,21
358,67
360,86
357,32
335,72
333,03
335,52
334,05
328,48
329,43
335,43
348,79
349,67
344,65
357,94
354,34
363,5
361,36
369,56
359,17
348,22
339,72
321,3
329
340
324,17
323,01
314,92
306,28
320,2
322,11
333,33
339,51
342,34
344,52
349,92
345,31
340,55
346,35
352,92
349,31
337,02
350,74
357,48
360,58
360,31
360,78
361,29
360,99
359,32
